"","record","uuid","date","markers","status","D1","D2","H1","H2","vlist","qtime","vos","vosr15oe","vbrowser","vbrowserr15oe","vmobiledevice","vmobileos","start_date","testing","decLang","list","userAgent","dcua","session","source","url","HidQTest","QRACE","QRACEr5oe","S2","H3","H3A","R1","D103","H5","D109","D110","H4","T1","H1A","H5A","Z1","D111","D107","AGE2","EDU2","nweight","Q1","Q2","Q3","Q4","Q5","F1r1","F1r2","F1r3","F1r4","F1r5","F1r6","Q6","Q7r1","Q7r2","Q7r3","Q7r4","Q8","Q8r10oe","Q9","Q10","Q11r1","Q11r2","Q11r3","Q11r4","Q11r5","Q12","Q12X","Q13","Q14r1","Q14r2","Q14r3","Q14r4","Q14r5","Q14r6","Q14r7","Q14r8","Q15","Q16r1","Q16r2","Q16r3","Q16r4","Q16r5","Q16r6","Q16r7","Q16r8","Q17","Q17X","Q18r1","Q18r2","Q18r3","Q18r4","Q18r5","Q18r6","Q19","Q20r1","Q20r2","Q20r3","Q20r4","Q20r5","Q21r1","Q21r2","Q21r3","Q21r4","Q22","Q23","Q24r1","Q24r2","D101","conditionsmarker_Q18B","conditionsmarker_Q18A","PID"
"102",1003,"nhy3g38e5bbh0dfg","11/13/2018 16:39","/TOTAL/CINT,/Gender/yaxdo,/Age/G6sOE,/GenderAge/rN2ZI,/Race/FIYZ",3,1,53,3,3,1,2064.76,14,"",10,"",1,2,"11/13/2018 16:05","","","114","Mozilla/5.0 (Linux; Android 8.0.0; HTC U11 Build/OPR6.170623.013; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/70.0.3538.80 Mobile Safari/537.36","sa","32v2hrqsb4zxj4m7","","/survey/selfserve/53d/181153?state=fde16c2ced617fd5a81e267f4e3a9413b2b9c23bQ002EFFI000004ad",3,1,"",40,1,1,1,6,3,2,5,1,4,3,2,"02835",5,1,3,4,0.16,1,3,2,2,2,1,2,3,2,3,1,2,1,2,2,2,1,"",2,3,1,1,2,1,2,2,NA,3,2,2,2,2,2,2,2,2,3,1,2,3,1,3,4,2,2,2,2,2,NA,1,1,2,1,5,1,2,1,1,5,5,1,1,1,4,1,5,5,3,0,1,"7ed8395e-378b-a974-efa7-0ff3d823a38a"
"103",1364,"dtfvx262fcwvgv4x","11/13/2018 17:51","/TOTAL/CINT,/Gender/yaxdo,/Age/ySjbx,/GenderAge/k73Ap,/Race/FIYZ",3,1,24,1,2,1,266.02,12,"",11,"",1,1,"11/13/2018 17:47","","","114","Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1","si","x1khw0xs5ez5jyhh","","/survey/selfserve/53d/181153?state=a06d57e6ac93efea2ed8fab688cc9e7c6c5abfffQ003JBAW0000045e",3,1,"",44,7,3,1,6,3,5,5,1,4,1,4,"76034",5,2,1,4,0.16,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,"",1,2,1,1,3,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,1,1,2,1,1,NA,1,2,1,1,1,3,3,3,4,3,4,4,4,4,3,1,1,1,1,1,1,0,"813a9506-7b4d-80b5-31ff-a3115e2bafd7"
"104",1603,"25ewf9shfczmcyaq","11/14/2018 00:40","/TOTAL/CINT,/Gender/xJAGz,/Age/xZE0a,/GenderAge/aMoPc,/Race/yxIn",3,2,47,2,3,1,827.28,14,"",10,"",3,2,"11/14/2018 00:27","","","114","Mozilla/5.0 (Linux; Android 6.0; TM800A620M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.80 Safari/537.36","ta","43vnjnhmvfprzseq","","/survey/selfserve/53d/181153?state=534b1f7e660ce11c467af3279bc168b8fc72a003Q003T4ED00000327",3,3,"",17,4,2,1,6,3,3,6,4,4,6,2,"66609",3,3,3,4,0.16,5,2,2,3,3,2,2,4,5,5,4,4,3,4,3,3,2,"",3,2,1,1,5,1,1,2,NA,3,3,1,4,4,1,3,3,3,4,4,2,1,4,1,1,1,1,1,1,NA,1,2,1,1,1,5,5,3,5,5,4,4,3,4,3,1,1,1,4,1,1,0,"d3d20d39-bb3d-23c2-d0c0-3bf954fe25e8"
"105",296,"51asxbaggv30nz3b","11/13/2018 15:52","/TOTAL/CINT,/Gender/yaxdo,/Age/xZE0a,/GenderAge/sQTTp,/Race/FIYZ",3,1,38,2,3,1,354.14,4,"",10,"",5,6,"11/13/2018 15:46","","","114","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36","..","ww3g6bd1ygz3vgsp","","/survey/selfserve/53d/181153?state=5a9771acda8cdb9d844aed2c122402e3ec25d02aQ000E1G100000446",3,1,"",44,7,3,1,3,2,3,5,1,4,2,2,"78217",5,2,2,2,0.17,1,1,1,1,1,2,2,4,2,4,1,1,1,1,1,1,4,"",3,4,4,4,4,4,4,1,2,3,2,2,2,2,2,2,2,2,1,1,1,4,2,4,4,4,4,2,2,2,NA,2,1,2,1,4,1,1,1,1,1,1,1,1,1,4,4,4,1,1,0,1,"ceb98053-e3af-64cb-8eaa-b6922cb83685"
"106",404,"t5bswtkm48eamug0","11/13/2018 15:57","/TOTAL/CINT,/Gender/xJAGz,/Age/xZE0a,/GenderAge/aMoPc,/Race/FIYZ",3,2,41,2,3,1,578.75,4,"",2,"",5,6,"11/13/2018 15:47","","","114","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134","..","k5psdfq9jb8ty7mx","","/survey/selfserve/53d/181153?state=a9f9c14dc0d2cb69502ffb03ce96c17bdb924bd2Q000H30800000446",3,1,"",39,2,1,1,6,3,4,5,1,4,6,3,"15613",5,3,2,4,0.17,1,2,2,2,2,1,4,4,2,3,1,1,1,1,1,1,1,"",2,4,2,2,2,2,1,2,NA,3,3,2,2,3,2,2,2,2,4,1,2,3,2,3,4,4,3,3,3,NA,2,2,2,2,2,4,1,3,1,1,1,1,1,1,2,4,3,4,2,3,1,0,"1d73fafb-88c9-1020-4402-cc586acf1b2b"
"107",441,"3khssmwpv91kwpca","11/13/2018 15:57","/TOTAL/CINT,/Gender/yaxdo,/Age/xZE0a,/GenderAge/sQTTp,/Race/FIYZ",3,1,49,2,3,1,598.53,4,"",2,"",5,6,"11/13/2018 15:48","","","114","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134","..","b21hhn8rv0882xz9","","/survey/selfserve/53d/181153?state=cd448cd58d4e90d16277fe0e2e5d93847bfac27cQ000LWVQ00000444",3,1,"",1,6,3,1,4,2,3,4,1,4,2,2,"36203",4,3,3,3,0.17,4,3,3,2,3,1,1,4,2,4,2,2,2,2,3,3,1,"",2,3,1,2,3,2,1,1,1,2,4,4,4,4,4,4,4,4,2,1,1,4,1,4,4,4,2,2,2,NA,1,1,1,1,1,2,2,3,2,2,3,3,3,3,3,4,4,2,3,1,1,0,"81ff6d0d-a558-860d-c8f4-5bd40d5d70dd"
"108",769,"gdvd69qj0z6a71en","11/13/2018 16:00","/TOTAL/CINT,/Gender/xJAGz,/Age/G6sOE,/GenderAge/oBHBm,/Race/FIYZ",3,2,57,3,4,1,452.8,14,"",10,"",1,2,"11/13/2018 15:53","","","114","Mozilla/5.0 (Linux; Android 6.0.1; SM-G550T Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/70.0.3538.80 Mobile Safari/537.36","sa","e2rp5baahjw9qpby","","/survey/selfserve/53d/181153?state=ee879d0b4ba2c8d3f0306896755d70a82b2347f8Q0016PVN00000325",3,1,"",44,7,3,1,3,2,1,1,2,4,7,1,"77061",3,3,3,2,0.17,3,5,3,5,4,6,6,6,6,6,6,3,3,3,3,3,11,"",2,2,5,5,5,5,5,1,1,6,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,2,2,2,NA,1,1,2,2,1,5,5,5,5,5,5,5,5,5,1,2,5,5,6,0,1,"a9c6c4b6-235c-3652-f14f-f2ed9f53bb66"
"109",326,"c2yxu2xhhev785z1","11/13/2018 15:51","/TOTAL/CINT,/Gender/xJAGz,/Age/ySjbx,/GenderAge/YZ8P3,/Race/FIYZ",3,2,26,1,2,1,279.04,14,"",10,"",1,2,"11/13/2018 15:46","","","114","Mozilla/5.0 (Linux; Android 7.0; SM-G925F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.80 Mobile Safari/537.36","sa","zp3a8t7gzpg1wcax","","/survey/selfserve/53d/181153?state=0ed5b99106333493196b64318de6a8e4bd114c49Q000EUYG00000489",3,1,"",31,2,1,1,6,3,5,2,2,4,5,4,"07030",3,2,1,4,0.18,5,1,2,2,1,2,3,1,2,2,1,2,2,2,1,2,3,"",2,1,2,3,2,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,3,2,3,2,2,2,NA,1,2,2,1,1,2,2,2,3,2,1,2,3,2,3,2,1,2,2,1,1,0,"a54e97a3-440e-728a-795a-a165c4189077"
"110",788,"7trjhxumtxzwgwp2","11/13/2018 16:00","/TOTAL/CINT,/Gender/yaxdo,/Age/s5vPn,/GenderAge/mh3C3,/Race/vUjw",3,1,67,4,4,1,408.45,4,"",10,"",5,6,"11/13/2018 15:53","","","114","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36","..","c05crc2j4aj63gz4","","/survey/selfserve/53d/181153?state=a42d7993ecfeed8ad8e054b4b03b031742ccce7dQ001873200000438",3,5,"HUMAN BEING",31,2,1,1,7,3,2,1,2,4,4,2,"07860",1,3,4,4,0.18,5,2,2,4,3,4,4,2,4,2,4,4,4,4,4,4,3,"",4,3,1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,1,4,4,3,1,1,1,3,1,1,1,1,NA,2,2,1,1,1,1,4,4,4,4,4,4,4,4,4,1,1,1,4,7,1,0,"2c675738-c231-a475-50c1-614ceddedaee"
"111",151,"pcv1e4t59er6qd1a","11/13/2018 15:53","/TOTAL/CINT,/Gender/xJAGz,/Age/xZE0a,/GenderAge/aMoPc,/Race/FIYZ",3,2,44,2,3,1,916,12,"",11,"",3,1,"11/13/2018 15:38","","","114","Mozilla/5.0 (iPad; CPU OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1","ti","pv4as5bm8adcvzjb","","/survey/selfserve/53d/181153?state=face6280f1d06be42ebd8d130510b7cf2ed4320fQ00043C200000456",3,1,"",48,9,4,1,4,2,2,1,2,4,6,2,"98260",1,1,2,3,0.19,5,5,2,5,1,3,3,1,3,2,4,4,4,4,4,4,7,"",4,2,1,1,2,2,3,1,3,3,1,3,3,1,1,1,3,3,3,4,4,5,5,5,2,2,1,1,1,NA,1,2,1,1,1,6,4,4,3,5,4,4,3,3,4,1,2,1,4,3,1,0,"e5d94386-2242-5fe4-ee7f-75f20552b154"
"112",842,"5x0mn47zvkxpgb2h","11/13/2018 16:03","/TOTAL/CINT,/Gender/xJAGz,/Age/ySjbx,/GenderAge/YZ8P3,/Race/FIYZ",3,2,20,1,1,1,523.53,4,"",10,"",5,6,"11/13/2018 15:55","","","114","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36","..","jndhb91tzp8qn5tp","","/survey/selfserve/53d/181153?state=18571e879c8d7b73e5f5f297c0437beac0a6392dQ001FG0C00000403",3,1,"",10,5,3,1,5,2,12,2,2,4,5,7,"34608",3,1,1,3,0.19,5,3,4,3,2,4,4,3,3,3,4,4,3,4,4,4,3,"",3,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,4,4,4,1,3,1,1,1,1,1,1,NA,2,2,1,1,1,1,4,4,4,4,4,4,4,4,4,1,1,1,4,8,1,0,"8fb578a7-ec8c-886d-825e-4e9ef9813c77"
"113",988,"6m6gbq1zm977q6sg","11/13/2018 16:07","/TOTAL/CINT,/Gender/yaxdo,/Age/G6sOE,/GenderAge/rN2ZI,/Race/FIYZ",3,1,64,3,4,1,287.76,4,"",10,"",5,6,"11/13/2018 16:02","","","114","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36","..","f5f94c9wqt0wftk0","","/survey/selfserve/53d/181153?state=5da3b591b17f93ce7b956a751b39b6bb54eec23dQ00289WC00000435",3,1,"",39,2,1,1,6,3,3,1,2,4,3,2,"15225",3,1,3,4,0.19,5,2,2,3,2,4,4,2,4,2,4,4,3,4,4,4,5,"",4,2,1,2,1,2,1,1,3,3,3,3,1,1,4,4,4,1,4,3,3,3,3,1,1,1,1,1,1,1,NA,1,1,1,1,5,4,4,3,5,4,4,3,4,3,1,1,1,4,7,0,1,"94ca5f47-fd47-a13d-fdbe-69e19c45e69e"
"114",865,"tb69s4dr64prqp2r","11/13/2018 16:09","/TOTAL/CINT,/Gender/xJAGz,/Age/xZE0a,/GenderAge/aMoPc,/Race/FIYZ",3,2,42,2,3,1,840.39,15,"",12,"",5,6,"11/13/2018 15:56","","","114","Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0","..","wrdu3299q80yu7ps","","/survey/selfserve/53d/181153?state=6fd553b9b9f5325d9f94b5a1675430da331a6590Q001UHNZ00000411",3,1,"",48,9,4,1,4,2,2,2,2,4,6,2,"98407",2,2,2,3,0.19,5,2,1,2,2,4,4,2,4,1,4,4,4,4,4,4,2,"",4,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,4,4,2,1,4,1,1,1,1,1,2,NA,1,2,1,1,1,1,4,4,4,4,4,4,4,4,4,1,2,1,4,5,1,0,"ed7159bc-8d37-a896-4645-6f5a89d56566"
"115",414,"q7vnsa6m67drrfa1","11/13/2018 15:54","/TOTAL/CINT,/Gender/xJAGz,/Age/ySjbx,/GenderAge/YZ8P3,/Race/FIYZ",3,2,34,1,2,1,441.93,14,"",10,"",1,2,"11/13/2018 15:47","","","114","Mozilla/5.0 (Linux; Android 6.0.1; XT1254 Build/MCG24.251-5-5; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/70.0.3538.80 Mobile Safari/537.36","sa","39qax154jzq2pkmj","","/survey/selfserve/53d/181153?state=0c4f475bc458596ab733bad10fb37e0e27874ae8Q000HEW100000441",3,1,"",14,3,2,1,6,3,5,1,2,4,5,4,"61068",1,3,2,4,0.2,4,2,2,3,2,4,4,2,4,2,4,3,3,4,4,4,2,"",4,2,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,3,4,4,1,4,1,1,1,1,1,2,1,NA,2,1,1,1,1,4,3,4,4,4,4,4,4,4,1,1,1,4,1,0,1,"b997ecca-b467-067c-a033-dabc0d76a01b"
"116",380,"5xzw8da2zn44mvrw","11/13/2018 15:58","/TOTAL/CINT,/Gender/xJAGz,/Age/ySjbx,/GenderAge/YZ8P3,/Race/fTc5",3,2,24,1,2,1,701.82,12,"",11,"",1,1,"11/13/2018 15:47","","","114","Mozilla/5.0 (iPhone; CPU iPhone OS 12_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1","si","sfrrd73jx4c8t2dy","","/survey/selfserve/53d/181153?state=4a9acdf1deab843de93b239d4f10bae51bcc7ed2Q000G85I0000042f",3,2,"",29,8,4,1,7,3,1,1,2,4,5,1,"89081",2,1,1,4,0.2,3,2,2,4,2,6,6,1,6,6,4,4,4,4,4,4,7,"",4,2,1,1,1,2,1,1,3,3,1,1,1,1,1,1,1,1,4,4,5,1,4,1,1,1,1,1,1,NA,1,2,1,1,1,1,4,4,4,4,4,4,4,4,4,1,5,1,4,8,1,0,"661acee1-3eb3-24b4-2d18-f831d3a52739"
"117",921,"nytctbhytcxpnefv","11/13/2018 16:09","/TOTAL/CINT,/Gender/yaxdo,/Age/ySjbx,/GenderAge/k73Ap,/Race/FIYZ",3,1,33,1,2,1,727.85,4,"",12,"",5,6,"11/13/2018 15:57","","","114","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:63.0) Gecko/20100101 Firefox/63.0","..","cumnru26essxrefv","","/survey/selfserve/53d/181153?state=6e7b74fe5c0daae219bc512f9bea5f1d78ad5ccfQ001TW8K000003e5",3,1,"",34,5,3,1,6,3,5,1,2,4,1,4,"27560",1,1,2,4,0.2,5,2,2,2,2,4,3,2,4,2,4,4,4,4,4,4,4,"",4,2,1,1,1,1,1,1,2,3,1,1,1,1,1,4,3,1,4,4,3,1,3,1,1,1,1,1,1,NA,1,1,1,1,1,1,4,3,4,3,4,4,4,4,4,1,1,1,5,1,1,0,"7044be1c-6cba-488d-73e5-886fcd897dcf"
"118",141,"e8p2f1uceg5ef01x","11/13/2018 15:45","/TOTAL/CINT,/Gender/xJAGz,/Age/xZE0a,/GenderAge/aMoPc,/Race/FIYZ",3,2,38,2,3,1,498.43,14,"",10,"",1,2,"11/13/2018 15:37","","","114","Mozilla/5.0 (Linux; Android 8.0.0; SM-G955U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.80 Mobile Safari/537.36","sa","yyrktzxje1fqk5zs","","/survey/selfserve/53d/181153?state=362e3493e80ce93fd33bf2b0d8e497cd1bbfc549Q0003OV10000047c",3,1,"",39,2,1,1,6,3,5,2,2,4,6,4,"15665",3,1,2,4,0.21,5,2,1,2,2,4,4,6,4,5,4,4,3,4,4,4,2,"",4,2,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,2,4,2,2,2,1,3,2,1,2,2,1,NA,1,1,1,1,1,4,4,4,5,3,4,4,4,4,1,5,2,4,2,0,1,"91e54283-ee79-5de4-d27a-74ce32643d53"
"119",1097,"4ssbumv8mkrpyjb1","11/13/2018 16:33","/TOTAL/CINT,/Gender/yaxdo,/Age/xZE0a,/GenderAge/sQTTp,/Race/FIYZ",3,1,39,2,3,1,809.81,14,"",10,"",1,2,"11/13/2018 16:20","","","114","Mozilla/5.0 (Linux; Android 6.0.1; SM-N910V Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/70.0.3538.80 Mobile Safari/537.36","sa","8fvtpejp1f1dqz4k","","/survey/selfserve/53d/181153?state=ed723ee7b7a017c5fc126d8207f774726257b2b2Q002SO7F00000314",3,1,"",18,6,3,1,4,2,2,2,2,4,2,2,"41635",3,2,2,3,0.21,2,2,4,2,2,6,2,4,2,5,2,2,2,2,3,3,2,"",2,3,1,2,3,2,3,1,1,4,3,3,3,2,2,2,2,3,2,5,5,5,5,5,5,5,5,2,2,1,NA,2,1,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,1,"7fb00ec9-159d-31b7-8430-389b8d600d1a"
"120",574,"f9b5qvey47907u38","11/13/2018 15:58","/TOTAL/CINT,/Gender/yaxdo,/Age/G6sOE,/GenderAge/rN2ZI,/Race/FIYZ",3,1,58,3,4,1,572.27,14,"",10,"",1,2,"11/13/2018 15:49","","","114","Mozilla/5.0 (Linux; Android 8.1.0; SAMSUNG-SM-J727A Build/M1AJQ; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/70.0.3538.80 Mobile Safari/537.36","sa","x6sun07cmjybezuh","","/survey/selfserve/53d/181153?state=d012d88f6e1140d36eef33d293a500552e72f472Q000O15700000432",3,1,"",24,4,2,1,6,3,3,1,2,4,3,2,"55418",1,2,3,4,0.22,5,2,2,1,2,4,4,1,4,2,4,4,3,4,4,4,5,"",4,2,1,2,2,2,1,1,3,6,1,1,1,1,1,1,1,3,4,4,3,2,4,1,1,1,1,1,1,1,NA,2,1,1,1,1,4,4,4,3,4,4,4,4,4,1,1,2,5,3,0,1,"828152ab-6876-bb54-b652-64aa891cfb7f"
"121",796,"zdad8yb3hv0cnwe2","11/13/2018 16:17","/TOTAL/CINT,/Gender/yaxdo,/Age/xZE0a,/GenderAge/sQTTp,/Race/FIYZ",3,1,40,2,3,1,1391.3,4,"",2,"",5,6,"11/13/2018 15:54","","","114","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134","..","t7bkafu8fjz815tp","","/survey/selfserve/53d/181153?state=c7fd40f24e7027855071020752ab570aa56de82cQ0019FR700000437",3,1,"",39,2,1,1,4,2,1,2,2,4,2,1,"16879",3,3,2,3,0.22,3,5,3,2,2,6,2,2,4,6,3,2,2,1,3,3,2,"",3,2,2,1,2,2,5,2,NA,3,1,1,1,1,1,3,1,3,4,2,1,5,2,2,5,1,4,1,1,NA,2,2,1,2,1,5,5,3,3,3,5,4,4,3,4,4,5,1,4,3,1,0,"9dd59615-21ed-651e-e2ec-a0feeae4b8c2"
"122",351,"29n312kv25ps6cgs","11/13/2018 15:54","/TOTAL/CINT,/Gender/xJAGz,/Age/xZE0a,/GenderAge/aMoPc,/Race/FIYZ",3,2,45,2,3,1,445.42,14,"",10,"",1,2,"11/13/2018 15:47","","","114","Mozilla/5.0 (Linux; Android 8.0.0; XT1650 Build/OCLS27.76-69-6; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/70.0.3538.80 Mobile Safari/537.36","sa","x8a3ny8svp0rgm14","","/survey/selfserve/53d/181153?state=8c98c4b0a5b01ddce63e8340c866aae96e04dd1bQ000F2HL00000471",3,1,"",33,2,1,1,4,2,5,6,4,4,6,4,"14726",3,3,3,3,0.23,1,5,3,2,1,6,6,6,6,6,1,1,1,1,1,1,1,"",2,2,1,1,2,1,1,1,2,3,3,3,3,3,3,3,3,3,4,1,1,4,1,4,4,1,2,2,2,NA,1,1,1,2,1,6,5,5,5,5,5,5,5,5,5,3,5,5,5,8,1,0,"91ac8257-229d-67cc-9bae-b487668bf787"
"123",139,"t6y2zrrj2p8d8n3e","11/13/2018 15:41","/TOTAL/CINT,/Gender/xJAGz,/Age/ySjbx,/GenderAge/YZ8P3,/Race/FIYZ",3,2,27,1,2,1,255.49,14,"",10,"",1,2,"11/13/2018 15:37","","","114","Mozilla/5.0 (Linux; Android 6.0.1; SM-S327VL Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/70.0.3538.80 Mobile Safari/537.36","sa","sd38wjtj8hqhq2rb","","/survey/selfserve/53d/181153?state=59d6dc4559908b443df3779dc93efc12f819933eQ0003T1E00000465",3,1,"",4,7,3,1,4,2,1,3,3,4,5,1,"72936",3,3,1,3,0.24,5,3,3,3,2,3,2,6,3,2,6,3,4,2,2,2,7,"",2,3,5,2,1,3,3,1,1,3,3,3,1,1,3,4,1,4,3,5,5,2,5,2,3,3,1,2,3,NA,2,1,2,1,2,2,3,3,5,2,2,3,1,2,3,3,2,5,2,3,1,0,"15bdf4f4-0cac-eb1f-8a0d-c29672cf1f22"
"124",491,"akkqv7fs4kybazdr","11/13/2018 15:55","/TOTAL/CINT,/Gender/xJAGz,/Age/xZE0a,/GenderAge/aMoPc,/Race/FIYZ",3,2,47,2,3,1,438.72,12,"",11,"",1,1,"11/13/2018 15:48","","","114","Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1","si","cwbr9rtfz32e5jgj","","/survey/selfserve/53d/181153?state=2bfef5e6bdfa053608df1375375b043a81cfdcd7Q000JUIN0000042a",3,1,"",14,3,2,1,6,3,4,2,2,4,6,3,"61756",3,3,3,4,0.24,4,5,2,2,2,6,6,6,6,5,6,3,3,2,2,3,11,"",3,2,1,2,5,1,1,1,1,6,2,2,2,2,3,3,2,3,3,2,1,5,2,5,5,5,2,2,1,NA,2,1,2,1,1,3,2,2,2,2,2,1,2,2,3,3,2,3,2,1,1,0,"3009049d-92aa-effd-3e64-3222dabd464e"
"125",782,"zz36anktgx40b7kf","11/13/2018 16:01","/TOTAL/CINT,/Gender/xJAGz,/Age/xZE0a,/GenderAge/aMoPc,/Race/FIYZ",3,2,41,2,3,1,455.55,13,"",10,"",5,6,"11/13/2018 15:53","","","114","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36","..","zwahywxqv3ug500g","","/survey/selfserve/53d/181153?state=d5387ec42e0bfc530e02194effe8a67ac46cb160Q0018005000003f4",3,1,"",24,4,2,1,6,3,5,1,2,4,6,4,"55406",1,2,2,4,0.24,5,1,1,4,3,4,4,2,4,2,4,4,4,4,4,4,4,"",4,2,1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,1,4,4,4,1,4,1,1,1,1,1,1,1,NA,2,1,1,1,1,4,4,4,4,4,4,4,4,4,1,1,1,4,1,0,1,"cdde3a52-1191-c93d-e9ab-0cf57ef8c587"
"126",640,"k75btb002zpvpfvk","11/13/2018 16:10","/TOTAL/CINT,/Gender/xJAGz,/Age/xZE0a,/GenderAge/aMoPc,/Race/FIYZ",3,2,47,2,3,1,1219.32,4,"",2,"",5,6,"11/13/2018 15:51","","","114","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134","..","j91q5zk5vh12su6j","","/survey/selfserve/53d/181153?state=c8ef1f9feb81bd57e5ca77b6bf08d068cbc41b0dQ0010KVZ0000043c",3,1,"",24,4,2,1,6,3,5,1,2,4,6,4,"55110",2,1,3,4,0.24,5,2,2,2,1,4,4,2,4,2,4,4,2,4,4,4,3,"",4,2,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,4,4,4,1,4,1,1,1,1,1,1,1,NA,2,1,1,1,1,4,4,4,4,4,4,4,4,4,1,1,1,4,1,0,1,"b08ae3a7-f680-0ca2-bd5e-d5a1356d1e70"
"127",1262,"r7mzbdced8sz098e","11/13/2018 17:14","/TOTAL/CINT,/Gender/xJAGz,/Age/ySjbx,/GenderAge/YZ8P3,/Race/FIYZ",3,2,22,1,2,1,685.96,12,"",11,"",1,1,"11/13/2018 17:03","","","114","Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1","si","0mbypu8ev4v95b97","","/survey/selfserve/53d/181153?state=7829c2f99ad757c24a58dd9027363b3f9b5a665eQ0039LTZ00000492",3,1,"",45,8,4,1,4,2,5,6,4,4,5,4,"84057",4,1,1,3,0.24,1,1,1,1,2,1,2,4,6,6,2,2,1,1,2,1,1,"",2,3,2,1,3,1,4,2,NA,2,2,2,2,2,2,2,2,2,3,1,1,5,3,3,3,2,3,4,4,NA,1,1,1,2,1,3,1,3,3,1,1,3,1,3,2,3,2,4,1,2,1,0,"53944b51-4c9b-7129-9ea8-7dbfdbed9987"
